rpa;categoria;equipe;cartao_amarelo;cartao_vermelho
4;Sub 15;Projeto Show de Bola;0;0
4;Sub 17;Projeto Show de Bola;3;0
4;Aberto Masculino;show de bola jocum;3;1
2;Sub 15;Futebol E Recreação Santiago;7;0
2;Sub 17;Futebol E Recreação Santiago;5;4
2;Sub 17;BOCA JUNIORS DE LINHA DO TIRO;7;1
2;Aberto Masculino;Futebol E Recreação Santiago 3;7;1
4;Aberto Masculino;Grêmio Da Horta;1;0
6;Aberto Masculino;os loucos club da vila;5;0
2;Aberto Masculino;os meninos da vila f.c;4;0
2;Aberto Masculino;VILA NOVA ATLÉTICO CLUBE;10;0
2;Aberto Masculino;Passarinho Futebol Clube;3;2
1;Aberto Masculino;Clube Recreativo Fernandinho;7;1
1;Sub 15;Pernambucanos Futebol Clube;2;0
5;Aberto Masculino;TOPA TUDO FUTEBOL CLUBE;8;1
1;Sub 17;pernambucanos futebol clube;0;0
3;Sub 15;Escolinha do Guima;2;0
1;Sub 15;Geração Futuro;2;0
1;Sub 17;CLUBE RECREATIVO FERNANDINHO;3;1
3;Sub 17;Escolinha do Guima;6;2
2;Sub 15;INTER LINHA DO TIRO PS;9;2
2;Aberto Masculino;INTER LINHA DO TIRO PS;5;0
5;Aberto Masculino;Amovicar Futebol Clube;7;0
2;Sub 17;INTER LINHA DO TIRO PS;3;1
5;Aberto Masculino;JUVENTUDE FUTEBOL CLUBE;15;2
2;Sub 17;FAMILIA DE B.H;8;0
6;Aberto Masculino;Portuguesa da Porta Larga Futebol Clube;4;0
4;Sub 15;Gremio Recretivo Ur7 Varzea;4;2
4;Aberto Masculino;ONZE VELOZES;0;0
2;Sub 17;Totem F.C;7;1
5;Aberto Masculino;INDEPENDENTE;2;0
5;Aberto Masculino;Real Bongi;7;1
2;Sub 17;PROFESP;2;0
3;Sub 15;Academia de Futebol do Recife;4;0
2;Sub 17;União Futebol Clube de Santo Amaro;0;0
4;Sub 17;Real Torre;2;0
1;Aberto Masculino;Duelo Futebol Clube;5;0
5;Sub 17;Show de Bola;3;2
5;Sub 17;arnaldo alcantara dos reis;1;0
3;Sub 17;Academia de Futebol do Recife;2;0
6;Aberto Masculino;CRUZEIRO FUTEBOL CLUB LAGOA ENCATADA;5;0
1;Sub 15;ESCOLINHA DO LUCIO;1;0
1;Sub 17;ESCOLINHA DO LUCIO;3;0
2;Aberto Masculino;Barcelona de Beberibe;2;2
2;Aberto Masculino;A.A.A.M. Associação Atlética do Arruma Mirim;0;0
6;Aberto Masculino;Palmeiras Futebol Clube da Ilha de Boa Viagem;3;1
4;Sub 17;Sem Noção FC;3;1
5;Aberto Masculino;Inter Sancho Recife futebol clube;8;2
4;Aberto Masculino;Iputinga united;3;0
3;Aberto Masculino;GALICIA  FUTEBOL CLUBE;7;1
3;Aberto Masculino;AJAX F.C;6;2
2;Sub 15;projeto genesis homens do amanhã;7;0
2;Veterano;Vila nova atlético clube;0;0
6;Aberto Masculino;Rua 10 F. C.;5;1
5;Aberto Masculino;Carreteiro Nascente Club;5;0
2;Sub 15;Escolinha Waldomiro Silva A;5;0
4;Aberto Masculino;PLENITUDE F.C;10;0
4;Sub 17;FC Olympiakos Recife Juvenil;4;1
2;Sub 15;passarinho futebol clube;9;0
2;Aberto Masculino;RECIFE FUTEBOL AMADOR;3;0
3;Sub 17;projeto de futebol revelação;4;1
3;Aberto Masculino;Os Gorginhos FC;11;0
5;Aberto Masculino;Gremio futebol clube;9;0
4;Aberto Masculino;FC Bela Vista;0;0
2;Sub 17;PROJETO  GÊNESIS  HOMENS DO AMANHÃ;0;0
3;Aberto Masculino;São Bento F.C;4;0
6;Aberto Masculino;BRASILEIRINHO F.C;3;0
5;Sub 15;vila nova futebol clube;9;0
2;Sub 15;TENEBROSO F.C;3;0
5;Aberto Masculino;Só Amigos Futbol Club;6;0
1;Sub 15;CLUBE RECREATIVO FERNANDINHO;0;0
2;Sub 17;Escolinha do Davi;6;1
5;Aberto Masculino;E.P.F.A;3;0
3;Aberto Masculino;Borussia Dortmund;8;1
6;Aberto Masculino;Império;2;0
3;Aberto Masculino;CORITIBA FUTEBOL CLUB;6;0
6;Aberto Masculino;MADUREIRA;8;0
1;Aberto Masculino;Botafoguinho FC;9;0
4;Aberto Masculino;É Nós Futebol Clube;8;2
5;Aberto Masculino;Jaguar;1;0
3;Aberto Masculino;Formoso F.C;3;0
5;Sub 17;os atrevidos;1;4
1;Veterano;MADUREIRA FUTEBOL CLUBE;0;0
5;Sub 15;Azulão - arnaldo alcantara dos reis;7;1
2;Sub 15;União Futebol Clube de Santo Amaro;4;0
4;Aberto Masculino;Tesouras Futebol Clube;3;0
6;Aberto Masculino;VERDINHO F.C;10;2
5;Aberto Masculino;UNIDOS FUTEBOL CLUBE;9;0
6;Aberto Masculino;Matonense do Ibura F.C;5;1
3;Aberto Masculino;Real Desportivo F.C;4;0
5;Sub 15;vasco da gama futebol club;3;1
6;Aberto Masculino;Atrevidos FC;3;0
4;Aberto Masculino;instituto federal de pernambuco;1;0
3;Aberto Masculino;Lombráticos F.C;0;0
4;Aberto Masculino;Comunidade Independente E.C;1;0
5;Aberto Masculino;ALIANÇA FUTEBOL CLUBE;9;0
4;Aberto Masculino;Real Futebol Clube da Torre;5;1
6;Aberto Masculino;Portuguesa Futebol Clube;7;1
5;Sub 17;vasco da gama futebol club;5;1
3;Sub 17;Os Gorginhos FC;0;0
6;Sub 17;Roma da Imbiribeira;4;1
4;Aberto Masculino;VERGONHA NACIONAL;8;1
6;Sub 17;Grêmio Esportivo  Real Fluminense;4;2
1;Sub 17;clube jovem mirim;6;1
5;Aberto Masculino;atalanta esporte club;4;1
4;Sub 15;R.D.L futebol clube cordeiro;8;3
3;Aberto Masculino;Werde Bremem DL;6;2
1;Sub 15;clube jovem mirim;5;3
1;Sub 15;clube jovem mirim 2;5;0
3;Sub 17;Formoso F.C;7;0
5;Sub 15;ASEEV  Associação Esportiva Evangélica;0;0
5;Sub 17;ASEEV  Associação Esportiva Evangélica;8;3
6;Sub 15;7 de maio;7;1
4;Sub 15;UNIÃO BERALDENSE FC;10;0
6;Aberto Masculino;NAPOLI ESPORTE CLUBE;0;1
1;Sub 17;Maguari Arsenal F.C;9;4
6;Aberto Masculino;GRÊMIO RECREATIVO E CULTURAL NÁUTICO DE BRASÍLIA TEIMOSA;12;1
3;Aberto Masculino;SEM TERRA FUTEBOL CLUBE;6;1
4;Aberto Masculino;CALDERÃO FUTEBOL CLUBE;6;0
1;Veterano;Belotas Futebol Clube;0;0
4;Sub 15;clube esportivo união da gávea;10;0
1;Aberto Masculino;guarani futebol club;4;1
6;Sub 15;Grêmio Esportivo  Real Fluminense;1;2
4;Sub 17;UNIÃO DA GÁVEA;4;0
5;Sub 15;Central Gloriense;8;1
5;Sub 17;Central Gloriense;5;3
2;Sub 17;A.A.A.M. Associação Atlética do Arruma Mirim;3;1
6;Aberto Masculino;SOCIEDADE ESPORTIVA PRO CANA;6;0
2;Aberto Masculino;Totem Fc;1;0
6;Aberto Masculino;Benfica F.C;5;1
4;Aberto Masculino;DE REPENTE;0;0
6;Aberto Masculino;Os Lisos FC;10;1
3;Aberto Masculino;Poderoso F.C;8;4
4;Aberto Masculino;confiança;4;0
5;Sub 17;Átomo Esporte Clube;6;3
5;Aberto Masculino;Elite F.C;7;0
3;Veterano;Desportiva . Monteirense;0;0
2;Aberto Masculino;cruzeiro fc;0;0
3;Aberto Masculino;união esporte clube da macaxeira;6;2
2;Sub 15;cruzeiro fc;0;0
2;Sub 17;cruzeiro fc;0;0
6;Aberto Masculino;CASSIOTO;7;0
4;Aberto Masculino;Associação Esportiva Roma da Iputinga;3;0
5;Aberto Masculino;colorado f.c.;8;2
4;Sub 17;Revelação;0;0
2;Sub 17;TENEBROSO F.C;1;0
2;Aberto Masculino;TENEBROSO F.C;2;0
5;Aberto Masculino;Sancho F. C;6;2
2;Aberto Masculino;Mocidade Futebol Clube;2;0
1;Aberto Masculino;GREMIO  ATLETICO CORINFOGO .FC;5;0
5;Sub 17;VILA NOVA FUTEBOL CLUBE;8;1
4;Sub 17;Gremio Recretivo Ur7 Varzea;3;0
4;Sub 17;talentos do xv;3;2
4;Sub 15;Pojeto Social Bola Pra Prente APECEF PE;2;0
2;Aberto Masculino;FAVELA FUTEBOL CLUB;4;1
2;Aberto Masculino;Zenit PE;3;0
5;Sub 17;Levanta Poeira F.C 1;0;0
4;Aberto Masculino;olho da água;7;0
3;Aberto Masculino;Santos F.C. Nova Descoberta;4;0
4;Sub 15;Revelação;0;0
6;Sub 15;Roma da Imbiribeira;4;1
5;Sub 17;escolinha modelo  10;7;2
3;Sub 15;CR UNIÃO CLUBE;0;0
5;Sub 15;escolinha modelo  10;6;0
6;Sub 17;Jovem IABV F.C;7;0
2;Aberto Masculino;fora de forma futebol clube;2;0
2;Sub 17;ATLÉTICO DE SANTANA F.C.;3;0
2;Aberto Masculino;ATLETICO DE  SALGADINHO;0;0
2;Sub 15;ATLÉTICO DE SANTANA F.C.;4;0
1;Sub 15;MILAN DOS COELHOS;3;1
3;Sub 17;CR UNIÃO CLUBE;1;0
3;Aberto Masculino;fagundes futebol clube;8;1
1;Sub 17;Escolinha Isaú Futebol clube;4;2
5;Aberto Masculino;Millan;13;1
2;Aberto Masculino;Garotinho da Vila;4;3
